date,code,name,score,stars,rank,entry_close,ret_5d,status_5d,ret_10d,status_10d,ret_20d,status_20d,ret_60d,status_60d,reasons
2026-06-29,420770,기가비스,60.0,2,11,175500.0,-20.23,ok,-10.83,ok,,insufficient,,insufficient,영업이익 성장 +772% | PEG 0.25 (저평가) | 60일 신고가 돌파 | 정배열 · MACD 강세
2026-06-30,240810,원익IPS,80.0,4,1,168100.0,-38.91,ok,-15.11,ok,,insufficient,,insufficient,거래대금 7위 | 영업이익 성장 +596% | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-06-30,089970,브이엠,73.3,3,2,109300.0,-22.23,ok,6.04,ok,,insufficient,,insufficient,거래대금 97위 | 영업이익 성장 +387% | 60일 신고가 돌파 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-06-30,034730,SK,70.7,3,3,834000.0,-28.54,ok,-26.98,ok,,insufficient,,insufficient,거래대금 12위 | 영업이익 성장 +426% | 60일 고가 근접 | 정배열 · MACD 강세 · OBV 매집
2026-06-30,222800,심텍,70.7,3,4,148700.0,-29.66,ok,-18.22,ok,,insufficient,,insufficient,거래대금 28위 | 영업이익 성장 +1322% | 60일 신고가 돌파 | 정배열 · MACD 강세
2026-06-30,005935,삼성전자우,70.6,3,5,212000.0,-11.84,ok,-9.43,ok,,insufficient,,insufficient,거래대금 5위 | 영업이익 성장 +740% | PEG 0.01 (저평가) | 정배열 · OBV 매집
2026-06-30,005930,삼성전자,67.1,3,6,334000.0,-16.92,ok,-16.32,ok,,insufficient,,insufficient,거래대금 2위 | 영업이익 성장 +740% | PEG 0.01 (저평가) | 정배열
2026-06-30,000660,SK하이닉스,66.7,3,7,2650000.0,-21.66,ok,-21.43,ok,,insufficient,,insufficient,거래대금 1위 | 영업이익 성장 +468% | 정배열 · OBV 매집
2026-06-30,214450,파마리서치,65.5,3,8,363000.0,-9.92,ok,-9.78,ok,,insufficient,,insufficient,거래대금 52위 | 영업이익 성장 +70% | PEG 0.50 (저평가) | 60일 신고가 돌파 | 거래량 2.5배 | MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-06-30,319660,피에스케이,64.0,2,9,196100.0,-22.79,ok,4.28,ok,,insufficient,,insufficient,거래대금 46위 | 영업이익 성장 +102% | PEG 0.06 (저평가) | 60일 신고가 돌파 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-06-30,420770,기가비스,63.5,2,10,192200.0,-24.3,ok,-13.06,ok,,insufficient,,insufficient,영업이익 성장 +772% | PEG 0.25 (저평가) | 60일 신고가 돌파 | 정배열 · MACD 강세 · OBV 매집
2026-06-30,002990,금호건설,61.7,2,11,11190.0,25.11,ok,19.57,ok,,insufficient,,insufficient,거래대금 9위 | 영업이익 성장 +126% | 60일 신고가 돌파 | 거래량 10.8배 폭증 | MACD 강세 · OBV 매집 | 과열 페널티 -5 (RSI 고점)
2026-06-30,058730,다스코,60.7,2,12,4205.0,23.66,ok,24.14,ok,,insufficient,,insufficient,거래대금 74위 | 영업이익 성장 +217% | PEG 0.01 (저평가) | 거래량 2.9배 | MACD 강세
2026-06-30,009150,삼성전기,60.0,2,13,2184000.0,-32.28,ok,-35.3,ok,,insufficient,,insufficient,거래대금 3위 | 영업이익 성장 +74% | PEG 0.22 (저평가) | 정배열 · OBV 매집 | 10거래일 중 3회 등장
2026-07-01,222800,심텍,84.0,4,1,157300.0,-25.05,ok,-31.72,ok,,insufficient,,insufficient,거래대금 29위 | 영업이익 성장 +1322% | 60일 신고가 돌파 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-07-01,240810,원익IPS,80.0,4,2,165600.0,-36.65,ok,-15.04,ok,,insufficient,,insufficient,거래대금 6위 | 영업이익 성장 +596% | 거래량 2.7배 | 정배열 · MACD 강세 | 10거래일 중 3회 등장
2026-07-01,089970,브이엠,73.3,3,3,119700.0,-27.65,ok,-9.52,ok,,insufficient,,insufficient,거래대금 67위 | 영업이익 성장 +387% | 60일 신고가 돌파 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 4회 등장
2026-07-01,010960,삼호개발,70.6,3,4,4235.0,-6.26,ok,-20.07,ok,,insufficient,,insufficient,영업이익 성장 +1108% | PEG 0.00 (저평가) | 60일 신고가 돌파 | 거래량 6.4배 폭증 | MACD 강세 · OBV 매집
2026-07-01,036930,주성엔지니어링,68.6,3,5,242000.0,-26.28,ok,-22.36,ok,,insufficient,,insufficient,거래대금 5위 | 영업이익 성장 +155% | PEG 0.27 (저평가) | 거래량 2.0배 | OBV 매집 | 10거래일 중 3회 등장
2026-07-01,084370,유진테크,68.6,3,6,206500.0,-28.81,ok,-28.91,ok,,insufficient,,insufficient,거래대금 53위 | 영업이익 성장 +99% | PEG 0.20 (저평가) | 60일 신고가 돌파 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-07-01,281820,케이씨텍,67.9,3,7,117500.0,-28.94,ok,-14.21,ok,,insufficient,,insufficient,거래대금 92위 | 영업이익 성장 +144% | PEG 0.05 (저평가) | 60일 신고가 돌파 | 정배열 · MACD 강세 · OBV 매집
2026-07-01,058730,다스코,67.8,3,8,4320.0,14.81,ok,4.51,ok,,insufficient,,insufficient,거래대금 68위 | 영업이익 성장 +217% | PEG 0.01 (저평가) | 거래량 2.9배 | MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-07-01,214450,파마리서치,65.5,3,9,366500.0,-15.69,ok,-8.19,ok,,insufficient,,insufficient,거래대금 64위 | 영업이익 성장 +70% | PEG 0.50 (저평가) | 60일 신고가 돌파 | 거래량 2.1배 | MACD 강세 · OBV 매집 | 10거래일 중 4회 등장
2026-07-01,402340,SK스퀘어,65.3,3,10,1757000.0,-24.47,ok,-31.02,ok,,insufficient,,insufficient,거래대금 3위 | 영업이익 성장 +366% | 정배열 · OBV 매집 | 10거래일 중 3회 등장
2026-07-01,319660,피에스케이,64.0,2,11,211500.0,-28.04,ok,-7.61,ok,,insufficient,,insufficient,거래대금 49위 | 영업이익 성장 +102% | PEG 0.06 (저평가) | 60일 신고가 돌파 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 4회 등장
2026-07-01,009150,삼성전기,63.5,2,12,2205000.0,-32.29,ok,-42.09,ok,,insufficient,,insufficient,거래대금 4위 | 영업이익 성장 +74% | PEG 0.22 (저평가) | 60일 고가 근접 | 정배열 · OBV 매집 | 10거래일 중 4회 등장
2026-07-01,005930,삼성전자,62.4,2,13,314500.0,-11.61,ok,-18.92,ok,,insufficient,,insufficient,거래대금 2위 | 영업이익 성장 +743% | PEG 0.01 (저평가) | 정배열
2026-07-01,005935,삼성전자우,62.4,2,14,204500.0,-9.24,ok,-15.89,ok,,insufficient,,insufficient,거래대금 8위 | 영업이익 성장 +743% | PEG 0.01 (저평가) | 정배열
2026-07-01,000660,SK하이닉스,61.3,2,15,2560000.0,-14.61,ok,-28.05,ok,,insufficient,,insufficient,거래대금 1위 | 영업이익 성장 +470% | 정배열 · OBV 매집
2026-07-01,034730,SK,61.3,2,16,763000.0,-20.05,ok,-23.98,ok,,insufficient,,insufficient,거래대금 16위 | 영업이익 성장 +442% | 정배열 · MACD 강세 · OBV 매집
2026-07-01,007660,이수페타시스,60.5,2,17,132900.0,-30.93,ok,-30.78,ok,,insufficient,,insufficient,거래대금 11위 | 영업이익 성장 +101% | PEG 0.44 (저평가) | 거래량 2.8배 | MACD 강세 · OBV 매집 | 10거래일 중 4회 등장
2026-07-01,420770,기가비스,60.0,2,18,189200.0,-19.93,ok,-13.95,ok,,insufficient,,insufficient,영업이익 성장 +772% | PEG 0.25 (저평가) | 60일 고가 근접 | 정배열 · MACD 강세 · OBV 매집
2026-07-02,010960,삼호개발,77.6,3,1,4370.0,-1.95,ok,,insufficient,,insufficient,,insufficient,거래대금 54위 | 영업이익 성장 +1108% | PEG 0.00 (저평가) | 60일 신고가 돌파 | 거래량 12.8배 폭증 | MACD 강세 · OBV 매집
2026-07-02,091590,남화토건,67.3,3,2,10360.0,-14.0,ok,,insufficient,,insufficient,,insufficient,영업이익 성장 +290% | 60일 신고가 돌파 | 거래량 3.1배 폭증 | 정배열 · MACD 강세
2026-07-02,003490,대한항공,65.1,3,3,28550.0,-6.3,ok,,insufficient,,insufficient,,insufficient,거래대금 34위 | 영업이익 성장 +164% | 거래량 2.1배 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-07-02,036930,주성엔지니어링,63.9,2,4,227500.0,-15.65,ok,,insufficient,,insufficient,,insufficient,거래대금 6위 | 영업이익 성장 +155% | PEG 0.27 (저평가) | MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-07-02,419050,삼기에너지솔루션즈,63.4,2,5,1944.0,-13.27,ok,,insufficient,,insufficient,,insufficient,영업이익 성장 +186% | PEG 0.06 (저평가) | 60일 신고가 돌파 | 거래량 4.0배 폭증 | MACD 강세 · OBV 매집
2026-07-02,002990,금호건설,63.2,2,6,11730.0,43.39,ok,,insufficient,,insufficient,,insufficient,거래대금 9위 | 영업이익 성장 +126% | 거래량 7.2배 폭증 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-07-02,402340,SK스퀘어,61.3,2,7,1525000.0,-7.61,ok,,insufficient,,insufficient,,insufficient,거래대금 3위 | 영업이익 성장 +384% | 정배열 | 10거래일 중 3회 등장
2026-07-02,352820,하이브,61.2,2,8,213500.0,3.28,ok,,insufficient,,insufficient,,insufficient,거래대금 72위 | 영업이익 성장 +462% | PEG 0.02 (저평가) | MACD 강세 | 10거래일 중 3회 등장
2026-07-02,222800,심텍,60.0,2,9,124700.0,-1.6,ok,,insufficient,,insufficient,,insufficient,거래대금 50위 | 영업이익 성장 +1341% | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-07-02,089970,브이엠,60.0,2,10,99500.0,3.92,ok,,insufficient,,insufficient,,insufficient,거래대금 61위 | 영업이익 성장 +387% | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 4회 등장
2026-07-06,091590,남화토건,79.3,3,1,10610.0,-31.01,ok,,insufficient,,insufficient,,insufficient,거래대금 66위 | 영업이익 성장 +290% | 60일 신고가 돌파 | 거래량 3.0배 폭증 | 정배열 · MACD 강세 · OBV 매집
2026-07-06,042660,한화오션,76.5,3,2,116100.0,-32.13,ok,,insufficient,,insufficient,,insufficient,거래대금 6위 | 영업이익 성장 +391% | PEG 0.38 (저평가) | 거래량 2.3배 | MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-07-06,010960,삼호개발,74.1,3,3,4330.0,-10.97,ok,,insufficient,,insufficient,,insufficient,거래대금 73위 | 영업이익 성장 +1108% | PEG 0.00 (저평가) | 60일 고가 근접 | 거래량 4.3배 폭증 | MACD 강세 · OBV 매집
2026-07-06,005935,삼성전자우,69.4,3,4,212500.0,-16.75,ok,,insufficient,,insufficient,,insufficient,거래대금 5위 | 영업이익 성장 +755% | PEG 0.01 (저평가) | OBV 매집 | 10거래일 중 3회 등장
2026-07-06,005930,삼성전자,64.7,2,5,318000.0,-19.97,ok,,insufficient,,insufficient,,insufficient,거래대금 2위 | 영업이익 성장 +755% | PEG 0.01 (저평가) | OBV 매집 | 10거래일 중 3회 등장
2026-07-06,019210,와이지-원,62.4,2,6,26700.0,-20.22,ok,,insufficient,,insufficient,,insufficient,거래대금 52위 | PEG 0.37 (저평가) | 60일 신고가 돌파 | 거래량 3.0배 폭증 | 정배열 · MACD 강세 · OBV 매집
2026-07-06,122350,삼기,61.5,2,7,1866.0,-1.39,ok,,insufficient,,insufficient,,insufficient,거래대금 98위 | 영업이익 성장 +63% | PEG 0.13 (저평가) | 60일 고가 근접 | 거래량 4.8배 폭증 | MACD 강세 · OBV 매집
2026-07-06,402340,SK스퀘어,61.3,2,8,1495000.0,-22.34,ok,,insufficient,,insufficient,,insufficient,거래대금 4위 | 영업이익 성장 +389% | 정배열 | 10거래일 중 3회 등장
2026-07-06,222800,심텍,61.3,2,9,118500.0,-8.78,ok,,insufficient,,insufficient,,insufficient,거래대금 29위 | 영업이익 성장 +1341% | 정배열 · OBV 매집 | 10거래일 중 3회 등장
2026-07-07,352820,하이브,76.5,3,1,232000.0,-11.21,ok,,insufficient,,insufficient,,insufficient,거래대금 24위 | 영업이익 성장 +439% | PEG 0.02 (저평가) | 거래량 2.8배 | MACD 강세 · OBV 매집 | 10거래일 중 5회 등장
2026-07-07,042660,한화오션,72.9,3,2,89800.0,-14.48,ok,,insufficient,,insufficient,,insufficient,거래대금 6위 | 영업이익 성장 +391% | PEG 0.37 (저평가) | 거래량 2.3배 | OBV 매집 | 10거래일 중 3회 등장
2026-07-07,002990,금호건설,71.4,3,3,14000.0,-3.07,ok,,insufficient,,insufficient,,insufficient,거래대금 7위 | 영업이익 성장 +126% | 거래량 4.1배 폭증 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 5회 등장
2026-07-07,010960,삼호개발,70.6,3,4,4190.0,-13.96,ok,,insufficient,,insufficient,,insufficient,거래대금 86위 | 영업이익 성장 +1108% | PEG 0.00 (저평가) | 거래량 3.6배 폭증 | MACD 강세 · OBV 매집
2026-07-07,010950,S-Oil,69.4,3,5,127400.0,3.14,ok,,insufficient,,insufficient,,insufficient,거래대금 35위 | 영업이익 성장 +1367% | PEG 0.00 (저평가) | 거래량 2.8배 | MACD 강세 · OBV 매집
2026-07-07,013700,까뮤이앤씨,66.2,3,6,1419.0,-7.12,ok,,insufficient,,insufficient,,insufficient,영업이익 성장 +231% | PEG 0.04 (저평가) | 60일 신고가 돌파 | 거래량 13.7배 폭증 | MACD 강세 · OBV 매집
2026-07-07,010955,S-Oil우,65.9,3,7,64300.0,1.09,ok,,insufficient,,insufficient,,insufficient,영업이익 성장 +1367% | PEG 0.00 (저평가) | 60일 신고가 돌파 | 거래량 3.1배 폭증 | MACD 강세 · OBV 매집
2026-07-07,005935,삼성전자우,64.7,2,8,199300.0,-8.58,ok,,insufficient,,insufficient,,insufficient,거래대금 5위 | 영업이익 성장 +755% | PEG 0.01 (저평가) | OBV 매집 | 10거래일 중 3회 등장
