date,code,name,score,rank,penalty,avail_max,ind_ma_up,ind_macd_bull,ind_obv_up,rsi,거래대금_earned,거래대금_max,거래대금_avail,실적_earned,실적_max,실적_avail,밸류_earned,밸류_max,밸류_avail,수급_earned,수급_max,수급_avail,신고가_earned,신고가_max,신고가_avail,거래량증가_earned,거래량증가_max,거래량증가_avail,차트_earned,차트_max,차트_avail,누적등장_earned,누적등장_max,누적등장_avail,ret_5d,ret_10d
2026-06-24,278470,에이피알,38.4,73,0.0,85,0,0,0,44.5,8,15,1,14.6,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,8.36,1.08
2026-06-24,413630,씨피시스템,38.4,74,0.0,75,0,1,1,59.8,4,15,1,8.8,20,1,0,10,0,0,15,0,0,10,1,10,10,1,6.0,10,1,0,10,1,-27.41,-38.35
2026-06-24,475430,키스트론,38.1,75,0.0,85,0,1,0,58.2,4,15,1,5.4,20,1,10,10,1,0,15,0,0,10,1,10,10,1,3.0,10,1,0,10,1,3.35,-19.4
2026-06-24,009540,HD한국조선해양,37.9,76,0.0,85,0,0,1,39.9,8,15,1,13.2,20,1,8,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-1.49,-7.47
2026-06-24,047810,한국항공우주,37.6,77,0.0,85,0,1,1,42.9,8,15,1,8.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,7.76,0.84
2026-06-24,010120,LS ELECTRIC,37.5,78,0.0,85,0,1,0,38.4,12,15,1,6.9,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,5.35,-9.8
2026-06-24,178320,서진시스템,37.3,79,0.0,75,0,0,0,35.6,8,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-6.67,-14.68
2026-06-24,014950,삼익제약,37.3,80,0.0,75,0,1,1,57.4,8,15,1,4.0,20,1,0,10,0,0,15,0,0,10,1,10,10,1,6.0,10,1,0,10,1,-33.37,-49.71
2026-06-24,247540,에코프로비엠,37.3,81,0.0,75,0,0,0,34.7,8,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-17.7,-20.26
2026-06-24,214450,파마리서치,37.3,82,0.0,85,0,1,1,52.9,4,15,1,7.7,20,1,10,10,1,0,15,0,0,10,1,4,10,1,6.0,10,1,0,10,1,18.39,4.93
2026-06-24,033160,엠케이전자,37.3,83,0.0,75,1,0,0,43.0,4,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,4.0,10,1,0,10,1,-28.86,-25.92
2026-06-24,083650,비에이치아이,36.6,84,0.0,85,0,0,0,35.6,4,15,1,17.1,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-2.82,-14.88
2026-06-24,053610,프로텍,36.6,85,0.0,85,1,0,0,48.7,0,15,1,17.1,20,1,10,10,1,0,15,0,0,10,1,0,10,1,4.0,10,1,0,10,1,-13.63,-17.97
2026-06-24,373220,LG에너지솔루션,36.5,86,0.0,75,0,0,1,38.0,8,15,1,16.4,20,1,0,10,0,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-3.15,-10.81
2026-06-24,100840,SNT에너지,36.5,87,0.0,85,0,1,0,29.7,0,15,1,20.0,20,1,8,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-5.55,-9.19
2026-06-24,071970,HD현대마린엔진,36.4,88,0.0,85,0,1,1,36.7,4,15,1,10.9,20,1,10,10,1,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,4.62,1.65
2026-06-24,097230,HJ중공업,36.0,89,0.0,75,0,1,0,43.3,4,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-8.37,-14.76
2026-06-24,084670,동양고속,36.0,90,0.0,75,0,0,1,42.3,4,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-12.57,-17.22
2026-06-24,189300,인텔리안테크,35.8,91,0.0,85,0,0,0,27.6,4,15,1,16.4,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-9.1,-9.6
2026-06-24,068270,셀트리온,35.6,92,0.0,85,0,1,0,45.5,8,15,1,11.3,20,1,8,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,2.26,1.45
2026-06-24,079550,LIG디펜스앤에어로스페이스,35.6,93,0.0,85,0,1,1,48.9,8,15,1,6.3,20,1,10,10,1,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,-7.52,-9.1
2026-06-24,198440,강동씨앤엘,35.6,94,0.0,75,1,1,1,71.7,4,15,1,5.7,20,1,0,10,0,0,15,0,0,10,1,7,10,1,10.0,10,1,0,10,1,-22.86,-11.45
2026-06-24,000720,현대건설,35.4,95,0.0,85,0,0,0,38.0,8,15,1,12.1,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,0.44,-6.54
2026-06-24,003160,디아이,35.3,96,0.0,85,0,0,0,36.8,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,1.89,-7.76
2026-06-24,348210,넥스틴,35.3,97,0.0,85,0,0,0,31.5,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-5.52,-10.28
2026-06-24,003530,한화투자증권,35.3,98,0.0,85,0,0,0,31.0,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-5.79,-4.39
